N,P,K,soil_ph,temperature,humidity,soil_moisture,crop
51,23,41,1.25,36.06,56.19,53.26,Rice
133,22,81,7.96,38.43,55.6,72.22,Rice
141,22,36,2.3,28.07,73.21,88.77,Rice
109,94,117,12.77,25.83,71.11,88.0,Rice
120,88,84,9.66,26.84,80.23,78.79,Rice
93,47,34,1.43,29.82,78.02,75.77,Rice
57,42,76,5.1,33.25,88.62,66.75,Rice
96,49,67,3.07,27.19,50.37,65.99,Rice
84,81,72,5.93,30.18,54.97,68.6,Rice
127,70,99,2.87,34.16,80.15,51.44,Rice
130,60,37,10.63,27.05,56.42,56.73,Rice
85,83,115,5.28,32.96,65.59,80.24,Rice
99,62,79,7.02,28.13,79.96,82.06,Rice
53,95,107,3.28,25.88,81.75,55.83,Rice
51,77,38,9.38,34.51,70.75,80.26,Rice
55,78,42,0.0,29.11,63.25,65.64,Rice
103,59,79,9.66,30.28,68.25,47.62,Rice
53,65,107,7.77,29.45,73.16,86.87,Rice
103,81,64,11.71,35.16,67.08,52.01,Rice
142,68,54,13.4,39.53,85.53,86.38,Rice
112,98,90,2.96,39.89,71.36,52.12,Rice
67,42,60,12.94,36.96,60.49,65.51,Rice
139,63,78,11.66,39.67,65.41,58.19,Rice
93,63,72,13.09,32.0,82.58,77.75,Rice
83,38,74,1.53,35.87,64.65,52.08,Rice
123,63,113,2.96,31.0,75.26,58.1,Rice
111,30,36,9.76,28.7,65.99,86.4,Rice
149,79,103,13.51,28.5,64.91,62.04,Rice
63,57,35,0.58,31.06,65.27,83.47,Rice
144,22,118,3.81,25.91,67.88,70.43,Rice
97,35,79,8.81,27.99,57.36,80.95,Rice
64,28,99,10.57,34.73,60.1,79.33,Rice
121,60,74,5.31,31.1,55.32,84.94,Rice
127,57,83,13.88,37.79,52.42,56.59,Rice
136,88,46,2.44,30.07,65.65,64.67,Rice
111,84,115,12.61,26.36,80.24,61.4,Rice
89,54,116,7.31,35.38,57.99,63.15,Rice
134,54,58,1.64,29.08,77.74,64.27,Rice
129,95,93,1.95,34.44,58.84,62.63,Rice
131,67,100,12.93,30.26,64.12,55.56,Rice
102,27,49,2.14,37.16,55.36,84.27,Rice
73,46,55,3.06,27.68,52.88,76.77,Rice
75,28,58,4.09,27.3,78.77,52.51,Rice
138,49,36,0.36,29.35,65.12,79.57,Rice
109,33,63,4.71,39.14,54.76,89.23,Rice
90,42,34,10.47,37.08,86.08,66.1,Rice
78,48,106,11.99,34.91,79.93,75.16,Rice
64,45,35,4.3,39.33,56.6,60.22,Rice
94,34,62,6.48,26.47,70.29,45.18,Rice
114,92,72,8.33,25.3,75.5,78.66,Rice
138,92,88,9.04,39.58,51.32,73.81,Rice
120,86,62,0.56,37.92,80.31,80.99,Rice
58,35,112,6.52,34.23,85.87,74.16,Rice
137,32,90,12.21,25.64,64.68,53.96,Rice
50,43,47,12.69,37.96,75.35,51.29,Rice
57,81,43,0.56,30.3,87.07,79.43,Rice
137,76,50,2.06,26.37,52.99,62.98,Rice
112,55,68,0.8,37.44,52.56,89.98,Rice
60,79,63,12.45,39.29,74.41,53.14,Rice
130,92,60,3.81,39.83,64.21,74.39,Rice
57,41,110,6.97,31.39,82.08,51.57,Rice
84,22,36,8.4,34.4,61.75,69.82,Rice
84,55,114,9.38,25.11,84.9,54.35,Rice
82,55,100,1.22,25.3,59.11,73.54,Rice
54,29,30,1.77,31.35,58.88,62.97,Rice
90,40,115,7.04,25.13,73.27,86.36,Rice
77,68,51,8.12,37.02,65.37,69.55,Rice
56,28,116,3.05,29.83,80.14,78.3,Rice
122,98,92,12.81,34.89,87.34,45.74,Rice
121,71,91,12.52,31.11,63.73,45.34,Rice
61,67,75,11.92,27.27,60.27,60.26,Rice
83,79,86,8.77,26.47,59.99,48.54,Rice
82,69,74,10.66,34.85,70.7,79.54,Rice
97,58,103,9.04,25.35,78.52,59.15,Rice
72,35,105,11.3,28.24,50.69,46.01,Rice
111,47,109,9.68,38.78,85.85,74.57,Rice
137,25,114,12.76,38.92,77.21,50.1,Rice
86,80,42,5.56,33.59,89.24,50.99,Rice
148,25,97,6.88,35.42,60.63,73.4,Rice
93,85,66,1.16,26.11,79.06,58.64,Rice
135,59,119,1.42,35.41,73.89,46.39,Rice
140,90,43,11.91,35.33,89.99,48.14,Rice
84,81,66,4.33,37.92,60.07,57.18,Rice
114,47,118,12.41,29.87,62.44,76.73,Rice
148,99,43,4.96,37.45,85.33,75.86,Rice
96,66,95,4.08,39.94,87.08,66.6,Rice
127,28,95,3.87,33.63,73.71,53.11,Rice
52,71,62,6.02,35.1,52.23,89.94,Rice
50,34,31,5.62,26.08,52.31,84.05,Rice
54,53,82,1.45,28.37,52.26,63.08,Rice
139,39,118,12.11,32.84,81.96,75.03,Rice
63,97,84,7.7,27.25,59.39,73.63,Rice
76,79,74,9.29,35.43,54.08,58.59,Rice
58,77,66,2.94,33.66,57.33,60.44,Rice
128,94,56,7.47,25.29,65.6,83.63,Rice
64,86,119,6.17,33.67,51.02,87.88,Rice
139,21,81,6.55,39.89,50.83,56.24,Rice
91,69,115,5.61,35.17,75.62,82.65,Rice
126,33,76,9.09,31.68,64.77,47.48,Rice
100,75,87,1.84,39.89,62.75,83.75,Rice
112,88,36,13.3,36.79,70.63,89.83,Rice
145,63,42,4.06,30.51,84.04,59.68,Rice
101,65,77,8.16,29.16,59.09,54.72,Rice
145,25,57,0.84,26.54,57.75,54.43,Rice
53,27,74,4.77,33.47,83.28,68.15,Rice
143,58,85,10.19,38.38,76.31,68.47,Rice
72,63,117,12.0,27.62,83.41,46.31,Rice
64,46,64,6.21,37.49,68.37,67.2,Rice
92,35,84,1.96,37.03,81.18,63.29,Rice
78,58,66,10.53,35.61,77.78,51.91,Rice
85,20,38,5.72,39.55,74.93,77.07,Rice
62,70,32,9.29,32.13,75.71,46.39,Rice
81,82,31,2.73,39.83,64.43,52.32,Rice
120,52,87,8.79,33.71,81.05,61.16,Rice
108,69,51,11.76,36.96,52.78,75.4,Rice
135,73,114,7.38,36.54,83.59,50.09,Rice
77,46,53,6.43,33.85,66.94,48.01,Rice
115,98,107,8.53,38.57,63.16,57.14,Rice
91,38,83,2.76,35.78,53.21,46.0,Rice
94,47,46,2.89,25.63,65.88,74.18,Rice
111,42,87,5.98,29.45,76.12,61.29,Rice
106,83,87,4.52,26.27,75.51,63.64,Rice
55,58,50,0.38,27.35,89.39,68.89,Rice
77,68,106,10.7,36.04,88.01,74.35,Rice
77,78,92,12.09,27.63,82.75,74.65,Rice
93,39,92,10.98,36.64,79.39,53.35,Rice
133,80,73,7.16,31.97,79.32,89.5,Rice
79,28,69,8.61,36.93,66.13,45.88,Rice
111,42,104,11.13,36.3,71.47,77.48,Rice
124,26,95,6.8,36.31,66.03,65.44,Rice
141,50,96,7.79,25.75,77.01,74.82,Rice
138,79,108,9.66,39.71,58.78,47.48,Rice
111,80,75,2.42,31.22,61.1,73.51,Rice
146,94,53,8.0,29.17,83.47,80.13,Rice
50,45,101,1.93,32.29,83.1,49.8,Rice
76,73,99,7.01,35.94,62.44,59.51,Rice
111,50,80,1.82,27.41,86.62,66.67,Rice
126,60,106,12.3,33.03,58.97,60.09,Rice
52,47,33,10.58,38.77,80.57,50.19,Rice
119,25,60,5.85,32.14,54.31,68.15,Rice
121,53,94,9.83,33.03,86.66,64.48,Rice
76,28,59,3.62,37.85,86.77,67.21,Rice
58,31,101,7.79,26.16,79.67,46.41,Rice
111,35,69,0.64,28.66,79.1,62.6,Rice
86,90,43,10.08,34.63,70.1,50.61,Rice
146,50,73,6.13,38.95,68.67,85.84,Rice
100,52,63,5.86,37.63,67.77,49.25,Rice
93,26,68,1.34,29.29,81.92,72.23,Rice
73,22,33,9.83,39.92,87.08,47.02,Rice
128,39,117,2.56,29.91,55.2,46.65,Rice
108,24,56,4.51,28.98,58.43,66.2,Rice
81,86,71,0.83,31.06,79.84,56.84,Rice
145,57,40,7.89,38.34,65.7,48.47,Rice
137,98,116,2.53,36.71,88.46,78.04,Rice
101,75,61,5.61,33.08,82.64,55.15,Rice
111,42,79,10.0,29.03,58.52,74.28,Rice
107,21,82,2.92,34.65,78.92,89.84,Rice
101,40,33,12.92,33.07,62.17,47.91,Rice
61,97,48,6.29,39.33,60.37,87.35,Rice
88,33,100,0.39,32.52,52.89,71.19,Rice
51,81,62,3.59,37.62,85.16,77.11,Rice
52,30,107,5.66,29.3,51.54,61.12,Rice
105,23,106,12.3,30.49,79.93,56.75,Rice
130,66,99,13.52,36.16,56.96,45.09,Rice
108,39,112,7.9,29.69,53.95,59.61,Rice
51,71,84,3.03,33.09,85.86,56.08,Rice
51,35,38,8.87,30.53,86.33,50.64,Rice
141,64,91,0.1,35.24,64.33,82.11,Rice
103,27,91,13.05,30.67,55.69,82.08,Rice
136,81,77,7.4,30.09,74.67,76.38,Rice
145,40,119,3.81,29.99,57.7,61.71,Rice
146,83,97,13.95,25.15,75.68,54.86,Rice
50,49,77,0.63,31.81,60.86,60.51,Rice
68,55,56,1.37,29.11,56.11,89.28,Rice
51,24,84,5.86,26.55,80.45,84.22,Rice
102,57,73,6.25,37.47,59.53,54.45,Rice
93,38,100,1.51,36.36,71.11,71.44,Rice
139,93,81,2.0,37.64,60.54,48.29,Rice
81,46,86,6.1,34.16,54.51,80.63,Rice
119,32,38,5.32,31.49,61.22,68.16,Rice
81,28,37,3.57,35.79,58.29,84.76,Rice
117,36,85,0.6,35.16,77.59,55.81,Rice
104,63,39,12.85,34.67,60.12,82.07,Rice
124,64,94,10.54,25.29,72.69,59.8,Rice
105,61,101,5.59,28.93,51.91,53.54,Rice
66,70,74,4.31,25.69,61.65,75.14,Rice
87,77,68,5.41,31.26,89.23,56.51,Rice
73,77,75,0.53,38.32,74.1,49.94,Rice
118,49,46,11.33,33.97,73.75,61.27,Rice
147,24,111,10.38,26.9,58.27,47.11,Rice
119,27,96,2.16,25.48,69.58,53.44,Rice
135,56,105,4.92,37.65,63.15,72.5,Rice
60,66,91,3.04,27.36,88.29,58.25,Rice
65,64,97,3.11,32.74,70.36,47.42,Rice
146,24,65,2.57,30.43,85.83,49.03,Rice
122,82,38,10.34,28.3,60.16,52.88,Rice
108,66,64,3.78,30.85,66.37,82.94,Rice
119,44,96,1.78,38.08,50.15,55.35,Rice
129,69,118,6.69,29.57,83.26,80.97,Rice
142,64,81,4.79,29.77,78.02,85.01,Rice
52,49,119,2.76,25.97,73.72,62.75,Rice
69,67,57,8.19,31.74,53.07,81.05,Rice
108,70,87,0.09,30.21,56.27,62.25,Rice
85,74,112,4.99,34.93,52.13,64.41,Rice
68,74,53,8.53,38.39,88.0,81.12,Rice
139,65,88,11.47,36.87,81.07,70.29,Rice
116,50,66,10.12,34.39,54.84,55.4,Rice
68,53,67,11.59,30.89,75.16,78.34,Rice
69,93,54,6.47,30.52,50.62,68.16,Rice
145,87,44,0.27,26.19,72.85,48.21,Rice
120,52,45,8.24,36.2,74.61,88.21,Rice
101,75,84,6.49,34.82,55.34,65.13,Rice
82,77,33,9.52,33.86,89.35,53.38,Rice
89,76,55,6.79,38.94,51.09,73.01,Rice
88,36,68,6.74,30.53,86.76,77.89,Rice
131,30,86,8.1,31.63,77.72,86.57,Rice
50,90,76,1.1,39.77,56.14,52.08,Rice
60,36,119,11.33,27.38,52.89,47.97,Rice
141,29,77,7.38,36.48,58.2,76.19,Rice
106,45,78,4.83,25.77,73.64,78.15,Rice
138,25,66,3.77,30.65,74.94,85.17,Rice
99,35,67,3.02,29.02,72.4,52.87,Rice
72,23,91,0.77,27.27,77.55,46.78,Rice
80,81,90,4.34,37.84,55.18,64.47,Rice
143,83,103,2.63,27.62,64.44,52.51,Rice
91,75,37,1.19,28.42,68.46,66.77,Rice
148,94,67,6.86,30.28,73.45,71.45,Rice
56,42,65,5.05,31.85,77.31,73.86,Rice
65,52,114,8.28,29.14,74.41,79.95,Rice
139,50,85,1.67,30.94,75.96,65.9,Rice
109,26,74,11.74,26.71,64.15,80.44,Rice
51,24,79,12.39,31.72,71.09,74.46,Rice
50,56,49,12.79,29.68,66.49,54.31,Rice
97,20,92,10.46,31.32,75.58,76.93,Rice
61,89,84,0.38,37.72,74.45,84.43,Rice
118,64,63,4.36,31.01,52.61,54.16,Rice
86,66,61,13.44,37.29,82.02,79.49,Rice
81,87,105,3.74,30.44,70.21,84.14,Rice
58,49,102,0.18,37.29,75.98,52.1,Rice
148,79,72,0.75,37.61,58.16,58.47,Rice
68,43,108,8.63,37.98,64.66,61.76,Rice
97,50,42,4.57,25.82,51.25,88.68,Rice
129,47,31,5.51,34.19,67.75,75.33,Rice
52,64,90,6.63,29.97,74.76,60.29,Rice
69,23,113,1.36,29.47,68.18,69.85,Rice
73,80,43,5.07,25.17,68.73,71.46,Rice
103,58,71,0.63,26.08,83.46,66.58,Rice
82,43,44,8.26,25.61,72.87,69.63,Rice
73,90,114,7.29,33.75,51.3,62.32,Rice
124,65,39,10.77,31.95,68.06,46.8,Rice
121,72,85,2.29,35.28,61.23,63.2,Rice
85,67,82,4.7,39.92,61.88,66.35,Rice
87,28,87,7.67,34.2,60.91,79.63,Rice
133,41,114,6.53,28.57,75.8,75.71,Rice
148,21,110,13.52,34.79,55.92,64.49,Rice
138,35,91,9.02,39.89,85.09,61.94,Rice
148,24,86,7.94,36.49,54.2,77.06,Rice
74,31,92,12.44,30.31,86.61,60.04,Rice
142,71,33,1.2,36.34,86.22,74.35,Rice
67,45,107,3.93,38.6,66.63,89.41,Rice
131,34,111,6.55,25.8,79.01,63.56,Rice
115,86,63,0.76,32.26,88.09,69.16,Rice
103,92,61,11.08,37.14,59.33,87.36,Rice
84,78,107,2.24,25.23,51.12,62.93,Rice
129,58,63,12.78,28.75,60.1,84.29,Rice
110,82,99,9.6,32.5,56.0,85.73,Rice
90,44,69,3.52,33.55,57.65,69.58,Rice
149,60,64,2.56,30.33,58.47,69.0,Rice
82,47,44,3.57,38.27,53.89,80.47,Rice
117,40,80,2.19,35.41,71.66,52.93,Rice
82,80,49,13.89,28.37,54.19,85.77,Rice
63,76,66,4.4,37.13,75.9,71.32,Rice
70,30,67,8.55,28.36,68.89,86.58,Rice
97,38,50,3.96,27.91,50.42,51.49,Rice
69,94,117,1.16,39.46,57.53,86.06,Rice
57,20,39,10.47,28.33,56.39,65.91,Rice
56,51,83,7.06,27.23,64.75,47.84,Rice
116,96,38,13.38,36.57,81.9,73.26,Rice
66,53,115,11.31,35.94,56.67,54.41,Rice
82,36,71,11.47,28.61,50.62,58.5,Rice
97,74,45,6.03,28.99,60.17,57.98,Rice
125,38,53,1.32,28.91,56.57,82.32,Rice
108,93,33,1.07,39.08,66.31,89.39,Rice
135,61,73,5.16,32.59,59.68,49.49,Rice
71,78,52,3.45,28.36,75.08,50.8,Rice
79,92,71,6.92,35.49,66.66,45.02,Rice
87,94,115,1.99,39.3,56.37,74.26,Rice
100,57,95,9.86,32.63,83.66,83.59,Rice
103,50,48,12.82,26.51,60.27,89.61,Rice
57,85,49,3.32,28.92,81.55,89.69,Rice
76,88,57,8.69,27.99,52.09,78.08,Rice
76,69,53,3.79,38.39,55.06,86.98,Rice
147,49,31,2.9,27.54,61.1,79.35,Rice
70,54,36,1.95,28.82,70.8,62.42,Rice
79,78,30,12.51,39.39,61.86,63.1,Rice
146,36,40,11.92,30.7,84.03,46.01,Rice
77,85,80,9.49,37.94,81.1,52.43,Rice
113,99,89,11.52,37.09,85.6,48.47,Rice
146,40,60,4.75,38.93,78.09,85.87,Rice
118,71,59,8.74,26.96,82.88,50.44,Rice
110,84,106,6.58,39.96,51.79,75.52,Rice
97,33,53,6.78,39.06,77.87,56.02,Rice
68,35,47,3.86,33.02,60.32,47.54,Rice
53,74,87,12.44,27.08,80.87,60.51,Rice
84,28,106,8.46,36.27,62.34,63.9,Rice
113,27,46,13.04,33.35,64.77,88.28,Rice
98,92,75,11.1,33.86,53.65,82.44,Rice
66,53,48,3.8,38.25,61.17,49.48,Rice
93,52,41,13.06,26.71,75.2,52.86,Rice
141,26,119,10.22,31.02,88.22,89.58,Rice
79,40,111,13.46,26.69,78.02,73.64,Rice
142,24,41,7.33,38.83,72.8,75.83,Rice
95,90,79,7.43,29.02,53.0,87.57,Rice
55,31,95,0.86,39.57,85.77,64.45,Rice
148,78,49,12.67,32.83,65.15,45.99,Rice
86,77,35,9.71,35.93,61.35,63.45,Rice
73,56,30,6.63,29.95,56.2,70.46,Rice
142,64,119,10.03,28.86,67.57,65.92,Rice
95,99,36,3.0,35.2,69.82,84.08,Rice
102,44,84,13.2,28.08,76.13,60.34,Rice
144,46,103,2.12,28.35,77.78,56.0,Rice
148,70,44,4.55,29.57,77.38,70.8,Rice
109,61,53,11.5,33.13,84.39,45.77,Rice
146,90,58,3.23,35.46,73.92,72.14,Rice
112,61,111,9.67,26.31,89.67,77.18,Rice
134,79,100,3.98,26.3,58.24,89.79,Rice
81,91,63,6.88,37.01,69.19,55.51,Rice
136,98,107,12.83,29.16,78.49,48.53,Rice
82,77,113,4.83,29.97,66.34,47.18,Rice
116,99,66,10.59,35.05,76.12,73.56,Rice
67,91,71,4.73,31.68,73.0,73.05,Rice
74,41,93,2.62,34.38,85.88,70.65,Rice
144,77,48,13.73,28.74,64.94,66.04,Rice
103,30,52,3.26,32.61,63.23,69.31,Rice
107,25,100,3.21,36.6,61.68,81.28,Rice
116,41,35,11.53,28.96,68.17,72.13,Rice
95,97,84,9.77,37.25,86.68,46.9,Rice
73,31,106,10.01,29.21,58.24,86.37,Rice
81,46,68,9.9,37.24,73.7,67.82,Rice
96,20,54,8.45,30.13,60.33,52.96,Rice
135,83,112,7.68,39.38,50.08,68.98,Rice
72,93,33,10.9,34.38,74.74,76.93,Rice
115,99,117,7.0,38.95,65.61,68.7,Rice
76,58,62,1.86,36.39,60.8,84.69,Rice
51,79,95,3.76,38.28,65.91,88.82,Rice
139,89,31,11.77,33.23,87.77,75.0,Rice
66,73,43,4.58,31.85,58.15,72.53,Rice
82,44,79,7.54,35.41,51.74,54.64,Rice
58,39,40,13.26,26.57,70.34,54.83,Rice
92,55,63,12.17,37.57,82.38,73.83,Rice
97,42,67,13.1,38.73,85.43,57.92,Rice
88,99,68,8.68,30.36,69.37,52.63,Rice
142,20,51,1.61,33.39,74.76,65.08,Rice
91,46,71,4.01,32.07,84.32,87.73,Rice
75,71,86,5.67,34.55,84.66,85.79,Rice
148,21,107,1.09,37.75,60.43,60.16,Rice
99,40,67,3.12,33.7,51.25,50.73,Rice
74,28,38,7.68,28.85,51.77,46.57,Rice
73,67,117,11.46,34.03,71.08,64.48,Rice
62,58,58,2.35,35.12,55.3,53.28,Rice
109,61,98,9.52,25.82,61.0,66.37,Rice
56,90,71,2.17,36.9,61.92,86.36,Rice
106,64,89,9.42,39.68,59.93,58.16,Rice
85,21,68,2.52,30.44,77.28,66.47,Rice
94,95,101,6.64,27.52,72.18,46.88,Rice
69,96,89,3.19,25.35,78.9,50.07,Rice
114,86,82,4.74,31.89,80.25,74.91,Rice
57,62,105,2.63,30.09,76.37,71.82,Rice
65,37,37,8.57,33.02,61.96,55.2,Rice
63,58,50,3.96,28.15,78.24,52.01,Rice
125,25,85,13.65,27.58,63.13,48.47,Rice
136,61,77,7.62,39.41,56.16,73.78,Rice
64,71,76,10.99,36.55,80.6,62.18,Rice
141,46,38,8.67,33.15,60.97,63.28,Rice
147,98,107,2.41,33.58,73.11,85.02,Rice
115,34,30,9.74,39.27,64.22,74.99,Rice
81,38,84,4.75,38.84,70.56,83.23,Rice
136,81,60,12.78,33.61,71.58,54.26,Rice
112,83,109,4.05,38.96,53.21,65.33,Rice
135,70,40,10.36,32.11,84.5,52.7,Rice
100,66,95,3.49,25.1,58.72,60.46,Rice
74,76,89,10.52,31.4,88.77,55.05,Rice
107,39,60,6.78,25.61,58.25,85.12,Rice
112,39,79,13.83,32.37,71.6,71.9,Rice
111,83,89,5.05,32.3,52.1,89.37,Rice
71,57,117,2.9,32.31,50.08,73.17,Rice
107,57,91,0.76,37.47,76.25,87.21,Rice
107,84,68,12.92,28.33,66.11,77.39,Rice
135,95,32,3.33,30.69,59.01,46.7,Rice
98,24,87,6.14,26.37,76.33,69.44,Rice
101,83,97,7.88,33.3,63.15,77.99,Rice
91,46,59,9.76,27.87,76.5,60.05,Rice
119,39,96,2.61,36.26,51.09,81.79,Rice
64,79,97,11.97,32.23,51.37,71.9,Rice
103,59,87,4.0,32.0,52.11,75.02,Rice
109,98,106,10.51,29.51,88.16,75.52,Rice
146,25,82,11.9,34.53,54.57,68.8,Rice
57,92,43,13.78,32.68,60.24,71.07,Rice
102,55,39,4.28,25.74,76.15,50.5,Rice
109,93,107,7.51,35.55,89.54,56.39,Rice
54,84,110,0.71,28.25,55.26,62.71,Rice
117,30,51,9.78,32.54,74.99,83.07,Rice
55,68,92,7.62,39.78,88.16,80.77,Rice
145,47,90,10.35,30.83,71.13,62.95,Rice
143,41,75,6.87,28.83,63.26,56.47,Rice
96,66,66,2.83,28.26,58.96,56.84,Rice
148,99,50,8.23,26.19,53.63,87.1,Rice
104,85,118,0.1,38.72,88.74,49.37,Rice
89,44,32,4.88,33.12,89.01,60.62,Rice
101,86,48,6.2,39.51,66.62,62.24,Rice
65,51,61,13.53,29.09,71.82,45.96,Rice
62,36,108,7.85,30.4,60.98,60.45,Rice
79,59,53,0.33,32.53,66.52,67.93,Rice
68,49,102,13.63,34.99,52.39,67.78,Rice
66,78,103,11.16,38.86,54.01,46.17,Rice
112,47,77,11.74,31.67,57.09,83.67,Rice
68,66,87,12.96,32.79,75.9,59.63,Rice
141,42,69,9.0,31.14,80.24,88.29,Rice
107,76,36,4.8,33.38,54.71,79.7,Rice
104,20,75,7.72,27.99,82.14,49.74,Rice
139,48,44,13.44,30.93,75.75,72.8,Rice
139,69,114,12.92,31.89,50.55,83.85,Rice
111,83,103,2.76,34.23,69.53,89.52,Rice
72,94,116,11.33,25.02,87.59,84.45,Rice
58,56,34,4.88,32.1,56.71,46.11,Rice
61,80,88,2.01,36.49,84.33,71.14,Rice
50,26,99,11.11,37.25,84.44,71.91,Rice
107,83,51,8.01,39.9,67.71,83.73,Rice
50,37,57,10.89,31.59,83.38,58.68,Rice
83,48,83,6.72,26.42,50.97,76.46,Rice
145,79,48,7.96,34.56,75.29,60.16,Rice
97,73,43,5.33,34.47,52.23,71.39,Rice
138,91,77,4.78,33.41,65.53,63.4,Rice
50,40,36,2.36,36.73,62.39,59.95,Rice
65,40,108,8.86,28.54,51.15,72.18,Rice
110,77,61,12.83,27.97,70.86,82.31,Rice
113,68,51,6.91,29.84,51.49,80.07,Rice
112,55,75,8.01,33.29,65.45,46.98,Rice
118,36,114,7.58,39.91,82.74,81.5,Rice
71,99,112,4.36,38.5,84.02,75.05,Rice
142,72,42,3.39,26.25,75.84,77.27,Rice
116,34,51,4.03,33.13,77.6,72.71,Rice
125,98,39,9.38,31.13,64.41,45.17,Rice
75,59,73,8.49,31.0,88.24,66.29,Rice
65,70,53,12.46,34.91,62.66,81.48,Rice
100,84,88,4.93,26.18,89.04,69.25,Rice
135,32,91,7.99,25.21,59.43,79.1,Rice
106,57,101,2.64,25.43,89.65,72.54,Rice
78,93,101,7.28,35.38,85.59,69.65,Rice
127,45,84,11.39,35.3,85.22,86.36,Rice
141,95,78,8.68,32.27,79.08,48.13,Rice
118,34,79,10.08,39.05,62.94,56.2,Rice
96,24,48,3.64,33.07,78.48,53.5,Rice
143,21,111,2.26,36.66,74.58,69.31,Rice
111,97,87,6.3,32.9,88.85,70.17,Rice
118,84,77,12.16,32.32,83.42,57.26,Rice
125,96,101,2.84,31.28,87.16,67.4,Rice
65,79,41,12.76,26.13,77.9,70.86,Rice
139,75,115,3.29,25.01,52.66,73.39,Rice
139,97,49,11.89,36.84,67.99,57.0,Rice
97,57,74,1.9,25.87,80.85,46.81,Rice
134,76,55,6.17,37.73,67.08,58.18,Rice
88,70,110,6.49,29.43,80.33,54.31,Rice
149,60,60,3.11,32.15,75.83,77.3,Rice
82,98,111,11.04,36.73,55.29,75.63,Rice
143,89,88,2.08,38.66,70.19,48.41,Rice
72,71,32,0.4,29.93,72.8,76.92,Rice
59,20,47,8.25,29.4,73.56,79.88,Rice
118,37,113,8.85,31.94,76.67,70.68,Rice
149,46,50,1.46,39.59,71.39,85.97,Rice
83,91,86,9.4,34.01,62.74,66.9,Rice
101,95,71,2.19,33.79,82.95,47.67,Rice
144,61,91,5.75,33.52,62.44,69.38,Rice
59,25,59,5.14,39.98,88.56,55.01,Rice
68,99,90,10.5,33.61,72.78,59.08,Rice
107,43,65,11.63,30.49,83.29,60.56,Rice
145,64,84,8.36,31.62,75.27,82.57,Rice
50,90,33,0.43,35.78,57.1,82.07,Rice
